Name,Users/1B,Link
BTC,4037.09,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
ETH,2969.58,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
BNB,7787.79,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
ADA,8827.1,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
XRP,6733.01,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
DOGE,43080.16,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
DOT,1132.08,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
ICP,934.07,https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png
UNI,2956.26,https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png
MATIC,2455.94,https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png
BCH,5850.52,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png
LINK,4506.93,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png
LTC,25809.44,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png
XLM,18275.95,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png
ETC,6062.62,https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png
SOL,2175.65,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
VET,22318.24,https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png
THETA,2521.82,https://s2.coinmarketcap.com/static/img/coins/64x64/2416.png
EOS,14723.54,https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png
TRX,19292.5,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png
FIL,2132.42,https://s2.coinmarketcap.com/static/img/coins/64x64/2280.png
AAVE,2084.94,https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png
XMR,47589.16,https://s2.coinmarketcap.com/static/img/coins/64x64/328.png
NEO,26601.92,https://s2.coinmarketcap.com/static/img/coins/64x64/1376.png
KLAY,130.72,https://s2.coinmarketcap.com/static/img/coins/64x64/4256.png
MKR,7091.42,https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png
SHIB,36982.65,https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png
BSV,1242.52,https://s2.coinmarketcap.com/static/img/coins/64x64/3602.png
XTZ,13992.1,https://s2.coinmarketcap.com/static/img/coins/64x64/2011.png
CRO,20129.74,https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png
FTT,117.52,https://s2.coinmarketcap.com/static/img/coins/64x64/4195.png
MIOTA,41556.76,https://s2.coinmarketcap.com/static/img/coins/64x64/1720.png
CAKE,11546.07,https://s2.coinmarketcap.com/static/img/coins/64x64/7186.png
ATOM,9390.78,https://s2.coinmarketcap.com/static/img/coins/64x64/3794.png
ALGO,7608.04,https://s2.coinmarketcap.com/static/img/coins/64x64/4030.png
LUNA,620.76,https://s2.coinmarketcap.com/static/img/coins/64x64/4172.png
HT,473.52,https://s2.coinmarketcap.com/static/img/coins/64x64/2502.png
KSM,1691.89,https://s2.coinmarketcap.com/static/img/coins/64x64/5034.png
RUNE,1770.5,https://s2.coinmarketcap.com/static/img/coins/64x64/4157.png
BTT,11778.68,https://s2.coinmarketcap.com/static/img/coins/64x64/3718.png
AVAX,2883.91,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png
HBAR,8593.81,https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png
COMP,2845.02,https://s2.coinmarketcap.com/static/img/coins/64x64/5692.png
LEO,4088.49,https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png
DASH,19137.37,https://s2.coinmarketcap.com/static/img/coins/64x64/131.png
TEL,6898.56,https://s2.coinmarketcap.com/static/img/coins/64x64/2394.png
EGLD,1941.42,https://s2.coinmarketcap.com/static/img/coins/64x64/6892.png
DCR,5996.86,https://s2.coinmarketcap.com/static/img/coins/64x64/1168.png
ZEC,10814.39,https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png
YFI,3308.11,https://s2.coinmarketcap.com/static/img/coins/64x64/5864.png
XEM,12046.32,https://s2.coinmarketcap.com/static/img/coins/64x64/873.png
HOT,12687.38,https://s2.coinmarketcap.com/static/img/coins/64x64/2682.png
WAVES,34135.75,https://s2.coinmarketcap.com/static/img/coins/64x64/1274.png
CEL,12461.72,https://s2.coinmarketcap.com/static/img/coins/64x64/2700.png
SUSHI,2506.51,https://s2.coinmarketcap.com/static/img/coins/64x64/6758.png
SNX,4007.16,https://s2.coinmarketcap.com/static/img/coins/64x64/2586.png
TFUEL,11401.6,https://s2.coinmarketcap.com/static/img/coins/64x64/3822.png
CHZ,15232.62,https://s2.coinmarketcap.com/static/img/coins/64x64/4066.png
NEAR,691.32,https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png
REV,1076.52,https://s2.coinmarketcap.com/static/img/coins/64x64/2135.png
ZIL,24558.3,https://s2.coinmarketcap.com/static/img/coins/64x64/2469.png
MANA,24312.6,https://s2.coinmarketcap.com/static/img/coins/64x64/1966.png
HNT,25585.45,https://s2.coinmarketcap.com/static/img/coins/64x64/5665.png
QTUM,13670.02,https://s2.coinmarketcap.com/static/img/coins/64x64/1684.png
BAT,61210.07,https://s2.coinmarketcap.com/static/img/coins/64x64/1697.png
STX,2032.68,https://s2.coinmarketcap.com/static/img/coins/64x64/4847.png
BTG,335.41,https://s2.coinmarketcap.com/static/img/coins/64x64/2083.png
NEXO,15602.65,https://s2.coinmarketcap.com/static/img/coins/64x64/2694.png
ZEN,6505.41,https://s2.coinmarketcap.com/static/img/coins/64x64/1698.png
ENJ,29414.61,https://s2.coinmarketcap.com/static/img/coins/64x64/2130.png
ONE,20976.43,https://s2.coinmarketcap.com/static/img/coins/64x64/3945.png
